keyphrase;score
mõtles Ants Asi;0.7554
jälgi tekitab Ning;0.7128
Ta meeled täitusid;0.7074
ukse toetas küünarnukid;0.7035
Daniil lasi kostnud;0.6903
linna mugavused Mina;0.6898
Taanieli rindkere tõusis;0.6896
nälginud moega Ansust;0.6841
idüllilisena isa ema;0.6808
kauget mürinat rääkimas;0.6744
kardan Ans päriselt;0.6707
Signe reageerinud Oleks;0.6698
Tartu nägi korrastatust;0.6694
räägin tõsiselt Danielil;0.6685
näoga lumises parklas;0.668
Kuim nässu Selleks;0.6674
sõdadesse välis- sisevaenlastega;0.667
paatidele tõrvamusta Olgu;0.666
salongi 70 -te;0.665
Seejärel meenutustesseni elada;0.6648
eksam Liepajas Kaitstud;0.6647
Tee tahad See;0.6637
unerütmi vere hapniku;0.6622
vajus mehaanilises rütmis;0.6615
nurmekunde Sakala Läänemaa;0.6597
lükkas mõistnud tõrkumise;0.6594
lapsele Miks kuuletus;0.6587
molekulid keerukamat eluvormideks;0.6587
taskus dressipluusi kapuuts;0.6571
rada väljapääsuni Aga;0.6567
habemega seisis hetke;0.6563
õelnuks maanteeamet Tartuni;0.6554
sakusele tugev ujuja;0.6535
kontsentratsiooni automaatse vererõhu;0.6534
sinised vormid ilmuvad;0.6526
lahkuminekuga näis süda;0.6518
tooliread ääristasid Maarjamõisa;0.6513
panna signet tundma;0.6512
väärib katkestust vana;0.6511
Soome kolida Paavel;0.6504
öeldi sõjaväes haak;0.6502
korda kiiresti surussis;0.65
raevust üritas tungida;0.6483
jupijumal autoregistrikeskuses Internetis;0.6483
hoidmas Kumbki laps;0.647
surussis lõuapärasid suunurk;0.6469
identiteeti Aga kaalusid;0.6467
lapsega jalutama Võttiski;0.6441
sattus paabel raevuhoogudest;0.6437
sügavust Aga lähenes;0.6437
minutit seisis Ants;0.6428
avasilmi kiiresti jäädagi;0.6417
sidemed Peale formaalsete;0.6411
Poe ukse lonkis;0.6409
helistas võttis kuulas;0.6403
keerlevast liivasambast meelgavat;0.6401
Göttingeni mineroloogiat õppima;0.6395
maha väsinud lootusetu;0.639
Kahe mõõtmelisel tasandil;0.6382
Mis jäi Polnud;0.6375
pealegi võib-olla väärib;0.6373
Tumedate kohevate juuste;0.6364
silmadega Signe ütles;0.6361
aknast suunatud Poe;0.6356
hammaste Kuula Kuula;0.6336
Miks Lasydadaniilil aastaid;0.6336
Tartuni jäi mõnikümmend;0.6323
sõbrad osas kannatasid;0.6317
teravaid servi jätnud;0.631
parklas manööverdanud süüte;0.6305
teada saamist sattus;0.6271
heinkülal pakkuda korralik;0.627
näeb selgelt käänakuid;0.6262
kehitas vaevumärgatavalt õlgu;0.626
astus Jans pikalt;0.6249
kirjutanud murtud sõrmedega;0.6244
viis kuud valusat;0.6242
vanamoodsa nuppudega leidis;0.6239
tegelikult huvitab toonist;0.6236
palun Anzori esimesel;0.623
käega lüüa jätab;0.6222
Millegipärast lootnud Signe;0.6213
Ta võttis telefoni;0.6206
näitas kilomeetreid õhuruumi;0.6206
aastavahetuse peol 1992;0.619
kleiti õlgadel suurt;0.6182
sikutas paelad sinnapaika;0.6181
tus teenelise rahvakunstnikuna;0.6153
ütlesid seisund stabiilne;0.6152
lähene meeldivad linna;0.6151
uudised edutamisest arkis;0.6145
20 Olid rahvakunstnikud;0.6142
Samamoodi Ja heinkülal;0.6133
näis süda uuesti;0.6133
magasid rändavad kodutud;0.6111
mõõde sobinud Elu;0.6104
patsutusest kallistamisest loomulikult;0.6096
mälestustes värsked esmakordselt;0.6094
tunduma üha ahvatleva;0.609
parasjagu periood suutis;0.6087
keskkooli lõpetamist käel;0.608
osalemised sügisjooksudel orienteerumisel;0.6078
olemasolust teadvustada Väljast;0.6074
Narvast Paveli vanemate;0.6063
öeldut tühiseks vastust;0.6057
tõrkumise põhjust hajusaid;0.6054
lõuaga ametnik keskharidusega;0.6052
Viis kuus seitse;0.6052
intensiivravi palatisse reas;0.605
märguannetega sõnumit vastamata;0.6017
määral talus Kuid;0.6
puusad saledad sukkades;0.6
kaks koolilast limpsida;0.5998
võttis pilkena tõmbas;0.5992
eksisteerimine eestlasena võimatu;0.5972
laupäeval maksusid vinüülpõrandal;0.5963
puhinal õhku hammaste;0.5959
nädal lõppes esimese;0.5951
tähele panna naine;0.5945
eestistunud venelaste venestunud;0.5911
Euroopale siht Taleest;0.5895
korralik sadam laevaremonditehas;0.5895
näoga tegelase astus;0.5894
võib-olla residenti vaikselt;0.5893
korrastatust edasiliikumist selget;0.5884
nimetas Pjotr Sergejevitš;0.5864
noogutas valveõele astus;0.5863
tuttavaid tuttavad Teretulnud;0.5845
lapsest vaatama rääkima;0.5833
kolises tumedalt plekki;0.5814
õlgadelt maha lükkas;0.581
käredat lahtimurdumist suhtest;0.5804
õige ukse Selle;0.5796
aastat tutvunud aastavahetuse;0.5787
põhjusel tõenäoliselt ajaks;0.5771
Vanemuise tänaval järjekorrata;0.577
haigla fuajeesse suurte;0.575
rumalusena Anzori tabanud;0.574
pikem tavapäraselt Sellistel;0.5737
korraks kinni avas;0.5707
küpsetas osa üürist;0.5706
tagajärg Samamoodi orgaanilised;0.5703
tahtmise jõulud võtsid;0.5642
vajumas lapselapsed näevad;0.5634
kasvada Miks lubasta;0.5629
tiirutamise kõndis käruga;0.5609
vaatama rääkima rääkides;0.5582
kõrvuti pargipingil kaks;0.5576
jagades raamatuvirna asetatud;0.5572
rahvakunstnikud tuttavaid tuttavad;0.5527
natuke nälginud moega;0.5502
lapsega Üks idüllilisena;0.55
rääkimas stanialega halvasti;0.5455
istusid valveõed hoides;0.5378
Tartus viibimine kippus;0.5365
tülitama sõbrannad aitavad;0.5295
tihti luges näiteks;0.5107
taas sulges peas;0.4848
luges helistas võttis;0.4267
fuajeesse suurte akende;0.4114
tõusis silmade hetkega;0.3444
seletanud Nad Soome;0.3273
ühise tuttava tar;0.314
söögi naine küpsetas;0.3055
tahad homme uuesti;0.3049
See kummine veniv;0.3049
võõras näha naise;0.2949
kiskuma Peipsi lainete;0.2938
suutis täielikult aduda;0.2928
lõppenud möödas paar;0.291
parklas liiguvad tundes;0.2864
Tartus teadis samamoodi;0.2841
istus toolile ukse;0.2835
jalad rinnad 40;0.2822
avastab Varem hiljem;0.2815
Ta mõtles viimati;0.2804
Vasak käsi lõdvalt;0.2781
fotoalbumis Kui naine;0.2772
täna Hans mõtles;0.27
tõrjuda Ta harjunud;0.2603
nädalal teada saamist;0.253
nurga ilmselt Arnes;0.2527
seisund stabiilne Kui;0.2476
õieti Siiski praktiline;0.2446
Ta harjunud lapsest;0.2413
Ta signelt selget;0.2412
hüvesid neljanda korruse;0.239
tahab naine jääda;0.2382
halvasti Tal kombeks;0.2356
leidnud paar juhuotsa;0.2277
harjunud lapsest vaatama;0.2251
laguneda võib-olla ihaldust;0.2223
septembris viis kuud;0.2219
varsti sõideti niiet;0.2214
käed kinnastatud Signe;0.2188
alalist põnevust Ants;0.2184
näiteks kaitsmiseks selja;0.2029
15 milliliitrit tunnis;0.1882
juhtudel Kui pilgu;0.1041
Ning pois reageeris;0.0823
