Keyword;Score
Eesti;0.009529285973959727
täna;0.006154271185086155
Täna;0.0035829711867883638
Venemaa;0.0031606235074453366
ütles;0.0031336904442757375
Tartu;0.0031213674077788696
valitsus;0.0026007264234225373
kolm;0.0024994575577856424
jätkub;0.002324901498938325
parlamendi;0.002294243949011159
Itaalia;0.0022565349685230466
Euroopa;0.002165602443883759
seisukoha;0.002141436461329025
sõnul;0.0021408583106071032
paremini;0.002049130346844299
peaministri;0.0020289269561337914
Afganistanis;0.001949289836702305
tegelikult;0.001922033161890216
koostöö;0.0019156515684058005
pruudi;0.0018372059349244065
seisukohta;0.0018279350044344376
näiteks;0.0017643429387529715
planeeritud;0.0017261419998721005
majanduse;0.0017227023059396356
euro;0.0016940764775612049
toimunud;0.0016869168521370965
anda;0.0016693948121278947
laeva;0.001664109486044807
sisuliselt;0.0016613473740287638
arengut;0.0016514701055187066
võimalik;0.0016294853872027264
kontrolli;0.0016289417963898944
Romano;0.0016105622770618247
Gaudeamuse;0.0016006995876787769
olulise;0.0015754319645156973
komisjoni;0.001561755358878261
konjunktuuriinstituudi;0.0015579690492241278
britid;0.0015548137447841575
asi;0.0015320134738529994
välireklaami;0.0015310481091697944
näitab;0.0015286422710338351
annab;0.001526460710332842
Palestiina;0.0015179689870328038
öelda;0.0015090997595773124
teatud;0.001503863837551064
arengu;0.0014872166428188999
õiguskantsler;0.0014684142615131945
valmis;0.0014591407515527754
hästi;0.0014409564821955068
küsimus;0.0014083661132193925
lisas;0.0013940299728626149
tantsimine;0.0013928666055820953
arutas;0.0013692321019710381
vasaktsentristist;0.001362637043802658
valitsusele;0.0013364268699862477
lähemalt;0.001317017521914672
kraadi;0.0013153865897269563
kasvab;0.0012868353826073343
Berlusconi;0.0012855347811603656
Silvio;0.0012759600103182834
hoiatus;0.0012643493333518575
Afganistani;0.0012619960364651018
puudutab;0.0012509060001989103
lähema;0.0012335691665224602
rikkumise;0.0012193676021557702
tegemist;0.0012141643459740537
müüki;0.001214042544535068
osalemise;0.001207664729002223
viia;0.0011989076050648462
kiiresti;0.001190022238077744
tudengite;0.0011896050200881298
jõudusid;0.0011813486041630974
algab;0.0011804268744660283
Riigikogu;0.0011755283275425503
plakateid;0.001174006202259115
kevadel;0.0011715599488812275
tagasisidet;0.001169627937430196
25000;0.0011610013084317192
piirkonnas;0.0011553647028878108
poliitiline;0.0011528755943483893
Itaalias;0.00115213446553696
kuus;0.0011465207193141977
loetud;0.0011447665349106847
töövõimetuks;0.0011441046559341984
Veeteede;0.001142554055819642
Marje;0.0011423464555049103
esitas;0.0011421887306556574
pidu;0.0011407599100110518
niipea;0.001139929444787221
valitseda;0.0011387970305706799
Vene;0.0011376134676063757
fraktsiooni;0.0011353990090727686
mõttes;0.0011321247809451644
kultuurile;0.0011298213945400563
justiitsminister;0.0011199455053237284
kord;0.0011162345240487775
erinevaid;0.0011158162599672326
Briti;0.0011135786385749885
andma;0.001109378780734406
põhimõte;0.0011088834578465217
eesti;0.0011079876988858589
rääkida;0.0011011586093865808
loomulikult;0.0010995667705808328
juhataja;0.0010991157066928884
eurole;0.0010982692177552173
laulu-;0.0010982279101028165
parlament;0.0010960511790037346
seaduse;0.0010953258746059216
üksused;0.0010946825700751462
tänavapilti;0.0010893679430279979
amet;0.0010879500405117496
peaminister;0.001086409859832
Eestilt;0.0010860180966378217
Eestis;0.0010860102293041136
koka;0.0010812717226497317
põhiseadus;0.0010782037750120485
aastat;0.0010760119430030422
Iisraeli;0.0010743015773261293
Hamas;0.0010696055092521302
teada;0.0010668498445952758
sajuta;0.0010634812927915209
prognoosi;0.0010616713431436948
eestlased;0.0010616488830094777
läänetuul;0.0010614772412375043
Prodi;0.0010583532372390135
teatas;0.0010577107669977708
alaneb;0.0010566967706630052
Puhub;0.0010563235816932128
vaja;0.0010529726238946704
Barroso;0.0010528801351760513
hääletussedelite;0.001052044003799175
Loodetakse;0.001052009811172068
kavatseb;0.001051322021554555
esimesed;0.0010500763517248568
leev;0.0010480641130976539
nõuab;0.0010478424468488127
koomas;0.0010477364135192341
Ülle;0.0010475769639926866
võtab;0.0010462467265485594
raudteetranspordialase;0.0010462361888442543
ülekontrollimist;0.0010415199166816597
pilvi;0.0010405727663005606
prognoos;0.0010400275289864295
Publica;0.0010390946109230547
tahavad;0.001032256997671241
üheksa;0.0010319325992322451
Konjunktuuriinstituudi;0.0010265863812278112
president;0.0010258226523395658
paraneb;0.0010247173634479066
oluline;0.0010244669525982196
Abbas;0.0010196673301838257
üliõpilaste;0.0010193015962884039
Res;0.0010162847116112594
arutasime;0.001014153722928059
aasta;0.0010139005911657336
itaallased;0.001013382806651895
küsimuse;0.0010100814220554335
komisjon;0.0010098691199399348
Komisjon;0.0010098253953020346
parlamendivalimistel;0.0010091861181691702
saatis;0.001009049127496492
kinnitas;0.001008608852455202
küsimuses;0.0010054281734115913
enamusega;0.0010035943574043585
Suurbritannia;0.001003417360115157
läbirääkimiste;0.0010017351095003974
sooja;0.0009944736762556314
riikide;0.0009930986492782355
leidsime;0.0009876999076980936
ehitise;0.0009851250438635156
nädala;0.0009837151322981737
rahul;0.0009818798096959136
poliitilise;0.0009805645200892986
alamkojas;0.000966495567932147
piiramist;0.0009652155218176398
Roomas;0.000961103485301619
napi;0.0009536500887474318
enamuse;0.0009478574020473508
Savisaar;0.0009381012828314027
ajakirjanikele;0.0009361235276184784
